Day,verbrauch_promille,heizung_promille,wind_promille,solar_promille,stromverbrauch,davon_raumw_korr,stromverbr_raumw_korr,solar_strom,wind_strom,sonst_kraftw,wind_solar_konstant,direktverbr_strom,ueberschuss_strom,einspeich,abregelung,mangel_last,brennstoff_ausgleich,speicher_ausgl_strom,ausspeich_rueckverstr,ausspeich_gas,ladezust_brutto
1,2.1624863679761215,2.5878179054351333,4.699376525279702,0.800145624702351,2394.86,828.4,3223.26,769.03,2654.34,42.71,3466.08,3223.26,242.82,157.84,0,0.0,0.0,0.0,0.0,0,157.84
2,2.7154386122480227,2.591014996362653,4.6734141867455135,0.6202826969994315,3007.23,829.42,3836.66,596.16,2639.68,42.71,3278.55,3278.55,0,0.0,0,558.1,15.88,542.23,926.88,0,-769.05
3,2.8204610948168867,2.594212087290174,3.010503389242047,0.8134746715590468,3123.54,830.45,3953.99,781.84,1700.42,42.71,2524.97,2524.97,0,0.0,0,1429.01,40.65,1388.36,2373.27,0,-3142.32
4,3.0642157057428787,2.5974091782176956,7.642221125671519,0.2471734828311987,3393.49,831.47,4224.96,237.56,4316.54,42.71,4596.81,4224.96,371.86,241.71,0,0.0,0.0,0.0,0.0,0,-2900.61
5,2.912420427335901,2.6006062691452145,4.89423109652362,0.4129515229897929,3225.38,832.49,4057.87,396.89,2764.4,42.71,3204.0,3204.0,0,0.0,0,853.87,24.29,829.58,1418.08,0,-4318.69
6,2.787890343774762,2.603803360072736,4.551604825379425,0.5436259680989699,3087.47,833.52,3920.99,522.49,2570.87,42.71,3136.07,3136.07,0,0.0,0,784.91,22.33,762.58,1303.56,0,-5622.25
7,2.5216260380796194,2.607000451000257,4.086234562736498,0.8473290927774122,2792.59,834.54,3627.13,814.38,2308.02,42.71,3165.11,3165.11,0,0.0,0,462.02,13.14,448.88,767.31,0,-6389.56
8,2.456267135463493,2.6101975419277776,4.352159674179504,0.4230218555046141,2720.21,835.56,3555.77,406.57,2458.22,42.71,2907.51,2907.51,0,0.0,0,648.27,18.44,629.83,1076.62,0,-7466.19
9,3.0237835766736816,2.6133946328552975,3.785132573199701,0.4749757192968087,3348.71,836.59,4185.3,456.51,2137.95,42.71,2637.17,2637.17,0,0.0,0,1548.13,44.04,1504.09,2571.09,0,-10037.28
10,3.13842084356943,2.616591723782819,4.236838262211625,0.5342797943267874,3475.67,837.61,4313.28,513.51,2393.09,42.71,2949.3,2949.3,0,0.0,0,1363.98,38.8,1325.17,2265.25,0,-12302.53
11,3.1956823957218736,2.619788814710338,5.6761756937751136,0.3476595603566194,3539.08,838.63,4377.72,334.14,3206.06,42.71,3582.92,3582.92,0,0.0,0,794.8,22.61,772.19,1319.98,0,-13622.51
12,3.262816007705007,2.6229859056378597,7.5140749017331725,0.3518189471346511,3613.43,839.66,4453.09,338.14,4244.16,42.71,4625.01,4453.09,171.92,111.75,0,0.0,0.0,0.0,0.0,0,-13510.76
13,3.1691983133398147,2.6261829965653796,7.296936780484677,0.6586133244457331,3509.75,840.68,4350.43,633.0,4121.51,42.71,4797.23,4350.43,446.8,290.42,0,0.0,0.0,0.0,0.0,0,-13220.34
14,2.778004628131769,2.629380087492901,6.950561447868567,0.5547508567827589,3076.52,841.7,3918.23,533.18,3925.87,42.71,4501.76,3918.23,583.54,379.3,0,0.0,0.0,0.0,0.0,0,-12841.04
15,2.6735972033490705,2.632577178420421,7.028727798416795,0.4473716932258448,2960.89,842.73,3803.62,429.98,3970.02,42.71,4442.71,3803.62,639.09,415.41,0,0.0,0.0,0.0,0.0,0,-12425.63
16,3.16318538606619,2.6357742693479427,4.826226213432541,0.9325897327388516,3503.09,843.75,4346.84,896.33,2725.99,42.71,3665.03,3665.03,0,0.0,0,681.82,19.4,662.42,1132.34,0,-13557.98
17,3.232933266756769,2.6389713602754625,3.899368268208982,1.0880032508934274,3580.33,844.77,4425.11,1045.7,2202.47,42.71,3290.88,3290.88,0,0.0,0,1134.23,32.27,1101.96,1883.69,0,-15441.67
18,3.1986631864315553,2.642168451202984,2.580220406691477,0.6110179910857959,3542.38,845.8,4388.18,587.26,1457.38,42.71,2087.35,2087.35,0,0.0,0,2300.83,65.46,2235.37,3821.15,0,-19262.82
19,3.2843468538482186,2.645365542130504,3.613552400446848,0.6560199309486577,3637.27,846.82,4484.09,630.51,2041.04,42.71,2714.26,2714.26,0,0.0,0,1769.84,50.35,1719.49,2939.29,0,-22202.12
20,3.14629696987379,2.6485626330580248,0.7719798940327951,0.4548848401807227,3484.39,847.85,4332.23,437.2,436.04,42.71,915.94,915.94,0,0.0,0,3416.29,97.19,3319.1,5673.68,0,-27875.79
21,2.8381535652377363,2.6517597239855446,2.3698302447277175,0.2981995182343873,3143.13,848.87,3992.0,286.6,1338.55,42.71,1667.86,1667.86,0,0.0,0,2324.14,66.12,2258.02,3859.87,0,-31735.66
22,2.6546183554091995,2.6549568149130653,1.8887820886567832,0.1397490593528697,2939.88,849.89,3789.77,134.32,1066.84,42.71,1243.86,1243.86,0,0.0,0,2545.9,72.43,2473.48,4228.17,0,-35963.82
23,3.131154312726313,2.658153905840586,0.9002789616206521,0.2443130557977753,3467.62,850.92,4318.53,234.81,508.5,42.71,786.03,786.03,0,0.0,0,3532.51,100.49,3432.01,5866.69,0,-41830.51
24,3.126354567817761,2.6613509967681077,0.6341939792339063,0.2461822905522118,3462.3,851.94,4314.24,236.61,358.21,42.71,637.53,637.53,0,0.0,0,3676.71,104.6,3572.11,6106.18,0,-47936.69
25,3.1696866451878,2.6645480876956267,0.7574439359172255,0.1419894254629086,3510.29,852.96,4363.25,136.47,427.83,42.71,607.01,607.01,0,0.0,0,3756.25,106.86,3649.39,6238.27,0,-54174.96
26,3.260190814347718,2.6677451786231483,1.062985418584075,0.1955409644810501,3610.52,853.99,4464.51,187.94,600.4,42.71,831.05,831.05,0,0.0,0,3633.45,103.37,3530.09,6034.34,0,-60209.3
27,3.195564409503569,2.670942269550669,1.5118274851971143,0.3174304588435898,3538.95,855.01,4393.96,305.09,853.92,42.71,1201.72,1201.72,0,0.0,0,3192.24,90.81,3101.42,5301.58,0,-65510.88
28,2.7563060886134663,2.67413936047819,0.8769114514810352,0.4398359163102595,3052.49,856.03,3908.52,422.73,495.3,42.71,960.75,960.75,0,0.0,0,2947.77,83.86,2863.91,4895.58,0,-70406.46
29,2.667624697279865,2.6773364514057096,3.593535152831571,0.5622458997690707,2954.28,857.06,3811.34,540.38,2029.73,42.71,2612.82,2612.82,0,0.0,0,1198.51,34.1,1164.42,1990.45,0,-72396.92
30,3.2645863472120764,2.6805335423332304,6.040579549739299,0.5764846710462067,3615.39,858.08,4473.47,554.07,3411.89,42.71,4008.67,4008.67,0,0.0,0,464.8,13.22,451.58,771.93,0,-73168.84
31,3.247154975922476,2.6837306332607502,5.982305712333758,0.4937088007704469,3596.08,859.1,4455.19,474.51,3378.97,42.71,3896.2,3896.2,0,0.0,0,558.99,15.9,543.09,928.36,0,-74097.2
32,3.2563360516505906,2.686927724188272,6.957365625507145,0.4799905185895826,3606.25,860.13,4466.38,461.33,3929.72,42.71,4433.75,4433.75,0,0.0,0,32.63,0.93,31.7,54.18,0,-74151.38
33,3.260665490383399,2.6901248151157917,4.622963484641958,0.5544068813800055,3611.05,861.15,4472.2,532.85,2611.18,42.71,3186.74,3186.74,0,0.0,0,1285.46,36.57,1248.89,2134.85,0,-76286.23
34,3.2232753300630046,2.6933219060433133,6.841578655296504,0.3994957483531351,3569.64,862.17,4431.81,383.96,3864.32,42.71,4290.99,4290.99,0,0.0,0,140.82,4.01,136.82,233.88,0,-76520.11
35,2.7035602404736547,2.696518996970833,1.413879301390328,1.398441051878411,2994.08,863.2,3857.27,1344.06,798.6,42.71,2185.37,2185.37,0,0.0,0,1671.9,47.56,1624.34,2776.64,0,-79296.75
36,2.5845361804334224,2.699716087898355,1.9267558298542735,0.8320810252527233,2862.26,864.22,3726.48,799.73,1088.29,42.71,1930.72,1930.72,0,0.0,0,1795.76,51.09,1744.67,2982.35,0,-82279.1
37,3.094592787096515,2.7029131788258747,0.8365449165980956,0.9115891292023256,3427.13,865.24,4292.37,876.14,472.5,42.71,1391.36,1391.36,0,0.0,0,2901.01,82.53,2818.48,4817.92,0,-87097.02
38,3.1557227577583897,2.7061102697533954,0.9421177146448592,2.4332231611800257,3494.83,866.27,4361.09,2338.61,532.13,42.71,2913.46,2913.46,0,0.0,0,1447.64,41.18,1406.45,2404.2,0,-89501.21
39,3.201513973808104,2.7093073606809153,1.944376770136986,2.7561210185305387,3545.54,867.29,4412.83,2648.95,1098.24,42.71,3789.9,3789.9,0,0.0,0,622.93,17.72,605.21,1034.54,0,-90535.75
40,3.279871024807514,2.712504451608437,3.1556187719232365,2.5325324807486584,3632.32,868.31,4500.63,2434.06,1782.38,42.71,4259.15,4259.15,0,0.0,0,241.48,6.87,234.61,401.04,0,-90936.79
41,3.211301913835001,2.7157015425359567,3.597085693241478,1.9542012049087227,3556.38,869.34,4425.72,1878.22,2031.74,42.71,3952.66,3952.66,0,0.0,0,473.06,13.46,459.6,785.64,0,-91722.43
42,2.796638803369091,2.7188986334634775,4.292113201804346,0.9482541915405576,3097.16,870.36,3967.52,911.38,2424.31,42.71,3378.4,3378.4,0,0.0,0,589.12,16.76,572.36,978.39,0,-92700.82
43,2.508811970046192,2.7220957243909982,0.8891723230895148,1.0191312284763332,2778.4,871.38,3649.79,979.5,502.23,42.71,1524.44,1524.44,0,0.0,0,2125.34,60.46,2064.88,3529.71,0,-96230.53
44,3.030898801116472,2.72529281531852,0.7205348297956398,1.4404739408964535,3356.59,872.41,4229.0,1384.46,406.98,42.71,1834.15,1834.15,0,0.0,0,2394.85,68.13,2326.72,3977.29,0,-100207.82
45,3.0464784442576724,2.728489906246039,0.5540055247708828,1.6386128248667204,3373.84,873.43,4247.28,1574.9,312.92,42.71,1930.53,1930.53,0,0.0,0,2316.75,65.91,2250.84,3847.59,0,-104055.41
46,3.0774727683274423,2.728489906246037,1.0352890951985352,1.9847788078166473,3408.17,873.43,4281.6,1907.6,584.76,42.71,2535.08,2535.08,0,0.0,0,1746.52,49.69,1696.84,2900.58,0,-106955.99
47,3.1160269500886155,2.6952538546373823,3.0512827776610223,1.948693072472526,3450.87,862.79,4313.66,1872.92,1723.45,42.71,3639.08,3639.08,0,0.0,0,674.58,19.19,655.38,1120.32,0,-108076.31
48,3.1161077924974543,2.662017803028725,6.8460761236039565,0.669783473050937,3450.96,852.15,4303.11,643.74,3866.86,42.71,4553.31,4303.11,250.2,162.63,0,0.0,0.0,0.0,0.0,0,-107913.68
49,2.684686815404769,2.6287817514200693,5.3441377982125635,0.815036138847862,2973.18,841.51,3814.69,783.34,3018.52,42.71,3844.57,3814.69,29.89,19.43,0,0.0,0.0,0.0,0.0,0,-107894.25
50,2.461562313242428,2.595545699811413,3.1161499738782297,1.3349730640782589,2726.07,830.87,3556.95,1283.06,1760.09,42.71,3085.86,3085.86,0,0.0,0,471.08,13.4,457.68,782.36,0,-108676.61
51,2.9896205579169295,2.5623096482027554,6.351521508022206,2.0109571463630407,3310.88,820.23,4131.11,1932.76,3587.52,42.71,5562.99,4131.11,1431.88,930.72,0,0.0,0.0,0.0,0.0,0,-107745.89
52,3.0302547930082233,2.5290735965941,2.9614880119850504,1.9436239612740545,3355.88,809.59,4165.47,1868.05,1672.73,42.71,3583.49,3583.49,0,0.0,0,581.98,16.56,565.42,966.54,0,-108712.42
53,3.000866938697877,2.4958375449854433,1.004883749887179,2.124242729664603,3323.33,798.96,4122.29,2041.64,567.59,42.71,2651.94,2651.94,0,0.0,0,1470.34,41.83,1428.52,2441.91,0,-111154.33
54,3.023563444979344,2.462601493376786,1.358688689328373,0.9904047563542792,3348.47,788.32,4136.78,951.89,767.43,42.71,1762.03,1762.03,0,0.0,0,2374.75,67.56,2307.19,3943.92,0,-115098.25
55,3.053565810843363,2.4293654417681303,4.281732131402497,0.8977576972179238,3381.69,777.68,4159.37,862.85,2418.44,42.71,3324.0,3324.0,0,0.0,0,835.37,23.76,811.6,1387.35,0,-116485.61
56,2.783935074299079,2.396129390159474,4.872727576178614,1.399101846731069,3083.09,767.04,3850.13,1344.7,2752.25,42.71,4139.66,3850.13,289.54,188.2,0,0.0,0.0,0.0,0.0,0,-116297.41
57,2.565681873501762,2.3628933385508173,2.854780305920078,1.7765560133551346,2841.38,756.4,3597.78,1707.48,1612.46,42.71,3362.65,3362.65,0,0.0,0,235.13,6.69,228.44,390.5,0,-116687.91
58,3.008841386850824,2.3296572869421617,1.3936775873015037,2.248956443123434,3332.16,745.76,4077.92,2161.51,787.19,42.71,2991.41,2991.41,0,0.0,0,1086.51,30.91,1055.6,1804.45,0,-118492.36
59,3.052851338743626,2.2964212353335043,1.1477855348857944,3.164673277158801,3380.9,735.12,4116.02,3041.62,648.3,42.71,3732.63,3732.63,0,0.0,0,383.39,10.91,372.48,636.72,0,-119129.08
60,3.0540093516269917,2.2631851837248487,1.258806242784671,3.4056189948033055,3382.18,724.48,4106.66,3273.2,711.01,42.71,4026.92,4026.92,0,0.0,0,79.75,2.27,77.48,132.44,0,-119261.52
61,3.0562609219596477,2.229949132116192,1.1741976202507296,2.9825745093379843,3384.68,713.84,4098.52,2866.6,663.22,42.71,3572.53,3572.53,0,0.0,0,525.99,14.96,511.02,873.54,0,-120135.06
62,3.0233487756099273,2.1967130805075348,1.49095993497996,2.11634939936984,3348.23,703.2,4051.43,2034.06,842.14,42.71,2918.91,2918.91,0,0.0,0,1132.52,32.22,1100.31,1880.87,0,-122015.93
63,2.745766532677366,2.1634770288988783,3.5124243660008085,1.4387495378905448,3040.82,692.56,3733.38,1382.81,1983.92,42.71,3409.43,3409.43,0,0.0,0,323.95,9.22,314.73,538.0,0,-122553.93
64,2.518414191025758,2.1302409772902218,2.3307426773947095,1.1437815780451832,2789.04,681.92,3470.96,1099.31,1316.47,42.71,2458.49,2458.49,0,0.0,0,1012.47,28.8,983.67,1681.48,0,-124235.41
65,3.0341898518816963,2.0970049256815653,1.8683309056227797,1.2892831734098904,3360.24,671.28,4031.52,1239.15,1055.29,42.71,2337.15,2337.15,0,0.0,0,1694.37,48.2,1646.17,2813.96,0,-127049.38
66,3.16861876066564,2.0637688740729088,4.949479683762975,1.6696158710359454,3509.11,660.64,4169.75,1604.7,2795.61,42.71,4443.01,4169.75,273.26,177.62,0,0.0,0.0,0.0,0.0,0,-126871.76
67,3.0621400222726955,2.0305328224642514,1.544485078309312,0.8359914824629731,3391.19,650.0,4041.19,803.49,872.37,42.71,1718.56,1718.56,0,0.0,0,2322.63,66.08,2256.55,3857.36,0,-130729.11
68,2.988419938899176,1.9972967708555949,1.9504026749395489,1.337955692899503,3309.55,639.37,3948.91,1285.93,1101.64,42.71,2430.28,2430.28,0,0.0,0,1518.63,43.2,1475.42,2522.09,0,-133251.21
69,3.0249279337447432,1.9640607192469393,4.342628906379532,1.4051033123106882,3349.98,628.73,3978.7,1350.47,2452.84,42.71,3846.02,3846.02,0,0.0,0,132.69,3.77,128.91,220.36,0,-133471.57
70,2.682771178054787,1.9308246676382828,3.2552693177573353,2.17044405744496,2971.05,618.09,3589.14,2086.05,1838.67,42.71,3967.43,3589.14,378.29,245.89,0,0.0,0.0,0.0,0.0,0,-133225.68
71,2.493250898809725,1.8975886160296265,3.3660651522408394,1.5135370320365702,2761.17,607.45,3368.62,1454.69,1901.25,42.71,3398.64,3368.62,30.03,19.52,0,0.0,0.0,0.0,0.0,0,-133206.16
72,3.075824238666123,1.8643525644209695,6.628844890706908,1.8785130383265405,3406.34,596.81,4003.15,1805.47,3744.16,42.71,5592.34,4003.15,1589.19,1032.97,0,0.0,0.0,0.0,0.0,0,-132173.19
73,3.109303920575191,1.8311165128123132,5.937322245141449,1.5283053443942607,3443.42,586.17,4029.59,1468.88,3353.57,42.71,4865.16,4029.59,835.57,543.12,0,0.0,0.0,0.0,0.0,0,-131630.07
74,3.0998710316681937,1.7314083579863455,2.9187901722411778,2.686592727252928,3432.97,554.25,3987.22,2582.13,1648.61,42.71,4273.45,3987.22,286.23,186.05,0,0.0,0.0,0.0,0.0,0,-131444.02
75,3.0559359136268167,1.70462563110412,3.782318141860428,3.8260112488737126,3384.32,545.68,3929.99,3677.24,2136.36,42.71,5856.31,3929.99,1926.32,1252.11,0,0.0,0.0,0.0,0.0,0,-130191.91
76,2.989036089150326,1.6778429042218963,3.37615283310857,3.250925109399227,3310.23,537.1,3847.33,3124.52,1906.95,42.71,5074.17,3847.33,1226.84,797.45,0,0.0,0.0,0.0,0.0,0,-129394.46
77,2.468212693834396,1.6510601773396711,1.4571182427899412,3.3935934336833595,2733.44,528.53,3261.97,3261.64,823.02,42.71,4127.37,3261.97,865.4,562.51,0,0.0,0.0,0.0,0.0,0,-128831.95
78,2.288023704252791,1.6242774504574466,1.1758332229828536,2.3237665672301664,2533.89,519.96,3053.84,2233.41,664.14,42.71,2940.27,2940.27,0,0.0,0,113.58,3.23,110.35,188.63,0,-129020.58
79,2.8627400359420543,1.5974947235752222,1.839366155628654,1.572768691192285,3170.36,511.38,3681.74,1511.61,1038.93,42.71,2593.25,2593.25,0,0.0,0,1088.49,30.97,1057.53,1807.74,0,-130828.32
80,2.933172892177794,1.5707119966929977,2.0337481413355767,2.269232887917321,3248.36,502.81,3751.17,2181.0,1148.72,42.71,3372.43,3372.43,0,0.0,0,378.75,10.77,367.97,629.01,0,-131457.33
81,2.969346592738163,1.5439292698107732,4.624108933601512,3.21478958814155,3288.42,494.24,3782.66,3089.79,2611.83,42.71,5744.33,3782.66,1961.67,1275.08,0,0.0,0.0,0.0,0.0,0,-130182.25
82,2.9930306873654433,1.517146542928549,5.047069475564012,1.6784279777354316,3314.65,485.66,3800.31,1613.16,2850.73,42.71,4506.6,3800.31,706.29,459.09,0,0.0,0.0,0.0,0.0,0,-129723.16
83,2.9394643980224173,1.4903638160463242,5.426069021644725,1.7554422600150712,3255.33,477.09,3732.42,1687.18,3064.8,42.71,4794.69,3732.42,1062.27,690.48,0,0.0,0.0,0.0,0.0,0,-129032.68
84,2.532931958202211,1.4635810891640997,5.653356312585467,2.5516864794914556,2805.11,468.51,3273.63,2452.47,3193.17,42.71,5688.35,3273.63,2414.73,1569.57,0,0.0,0.0,0.0,0.0,0,-127463.11
85,2.2954874250255757,1.4367983622818752,3.1602427315268353,1.8927518096036764,2542.15,459.94,3002.09,1819.15,1784.99,42.71,3646.86,3002.09,644.77,419.1,0,0.0,0.0,0.0,0.0,0,-127044.01
86,2.938200416035574,1.4100156353996507,4.240248256736924,3.236242790892225,3253.93,451.37,3705.3,3110.41,2395.01,42.71,5548.13,3705.3,1842.83,1197.84,0,0.0,0.0,0.0,0.0,0,-125846.17
87,3.0165164995980724,1.3832329085174262,2.517004624618412,3.697540961937442,3340.66,442.79,3783.46,3553.77,1421.67,42.71,5018.15,3783.46,1234.7,802.55,0,0.0,0.0,0.0,0.0,0,-125043.62
88,2.9819798578166874,1.3564501816352017,2.22183894188274,2.1467866965213784,3302.41,434.22,3736.64,2063.31,1254.96,42.71,3360.98,3360.98,0,0.0,0,375.65,10.69,364.97,623.88,0,-125667.5
89,2.9937970515519345,1.3296674547529772,5.277986363974751,1.8461838764598584,3315.5,425.65,3741.15,1774.4,2981.15,42.71,4798.26,3741.15,1057.12,687.12,0,0.0,0.0,0.0,0.0,0,-124980.37
90,2.9145146827108173,1.3028847278707518,3.344997324138119,1.9124353494270283,3227.7,417.07,3644.77,1838.07,1889.35,42.71,3770.13,3644.77,125.36,81.48,0,0.0,0.0,0.0,0.0,0,-124898.89
91,2.626000688912789,1.2761020009885282,4.936983397797778,1.436776205316854,2908.18,408.5,3316.68,1380.91,2788.55,42.71,4212.17,3316.68,895.48,582.07,0,0.0,0.0,0.0,0.0,0,-124316.82
92,2.432953386465892,1.2493192741063028,3.764342323219081,2.052618904025481,2694.39,399.93,3094.32,1972.81,2126.21,42.71,4141.72,3094.32,1047.41,680.81,0,0.0,0.0,0.0,0.0,0,-123636.01
93,2.8812491239386735,1.2225365472240788,2.054153646957083,3.7914100389520007,3190.86,391.35,3582.21,3643.99,1160.24,42.71,4846.94,3582.21,1264.73,822.07,0,0.0,0.0,0.0,0.0,0,-122813.94
94,2.9011560208827127,1.1957538203418538,0.645557114004453,4.67954095088497,3212.91,382.78,3595.68,4497.58,364.63,42.71,4904.92,3595.68,1309.24,851.01,0,0.0,0.0,0.0,0.0,0,-121962.93
95,2.8808727697515795,1.168971093459629,0.3058418994951987,4.695748528743655,3190.44,374.21,3564.65,4513.16,172.75,42.71,4728.62,3564.65,1163.97,756.58,0,0.0,0.0,0.0,0.0,0,-121206.35
96,2.842613007303677,1.1421883665774049,1.5519480647819903,4.803209160159116,3148.07,365.63,3513.7,4616.44,876.58,42.71,5535.74,3513.7,2022.03,1314.32,0,0.0,0.0,0.0,0.0,0,-119892.03
97,2.3763746249286397,1.11540563969518,2.0935187924121914,3.0719583281403233,2631.73,357.06,2988.79,2952.51,1182.48,42.71,4177.7,2988.79,1188.91,772.79,0,0.0,0.0,0.0,0.0,0,-119119.24
98,2.3023732318216616,1.088622912812956,0.7545838271654552,1.5924160230785045,2549.78,348.48,2898.26,1530.5,426.21,42.71,1999.42,1999.42,0,0.0,0,898.85,25.57,873.27,1492.78,0,-120612.01
99,2.035233315441597,1.061840185930731,0.6058177651315761,3.873905297714988,2253.93,339.91,2593.84,3723.27,342.18,42.71,4108.17,2593.84,1514.32,984.31,0,0.0,0.0,0.0,0.0,0,-119627.7
100,2.1692268769292946,1.0350574590485069,3.623355475898248,4.640146715285417,2402.33,331.34,2733.66,4459.72,2046.57,42.71,6549.01,2733.66,3815.34,1776.88,1081.68,0.0,0.0,0.0,0.0,0,-117850.82
101,2.7513178934951212,1.0082747321662824,4.274462395521153,3.0935337326788184,3046.97,322.76,3369.73,2973.25,2414.34,42.71,5430.29,3369.73,2060.56,1339.37,0,0.0,0.0,0.0,0.0,0,-116511.46
102,2.8785949802593,0.9814920052840574,3.361270780752154,2.306518011178938,3187.92,314.19,3502.11,2216.83,1898.54,42.71,4158.08,3502.11,655.97,426.38,0,0.0,0.0,0.0,0.0,0,-116085.07
103,2.846184275337376,0.9547092784018334,3.301350799673143,2.8335969520086106,3152.03,305.62,3457.64,2723.42,1864.7,42.71,4630.82,3457.64,1173.18,762.57,0,0.0,0.0,0.0,0.0,0,-115322.51
104,2.7793516374574194,0.9279265515196083,1.041534602945798,2.9987730352123863,3078.01,297.04,3375.06,2882.17,588.29,42.71,3513.17,3375.06,138.11,89.77,0,0.0,0.0,0.0,0.0,0,-115232.73
105,2.476240126539083,0.9279265515196102,2.3398746462471065,1.5841832433731295,2742.33,297.04,3039.37,1522.58,1321.63,42.71,2886.92,2886.92,0,0.0,0,152.45,4.34,148.11,253.19,0,-115485.92
106,2.2863549639892624,0.8672331637478199,1.2584566348967086,1.5546601966341729,2532.04,277.61,2809.65,1494.21,710.81,42.71,2247.73,2247.73,0,0.0,0,561.92,15.99,545.94,933.22,0,-116419.14
107,2.8121545373087096,0.8065397759760291,1.5332168120108756,2.9140238323629357,3114.34,258.19,3372.53,2800.72,866.0,42.71,3709.43,3372.53,336.91,218.99,0,0.0,0.0,0.0,0.0,0,-116200.16
108,2.8839912110492834,0.7458463882042383,2.9936747763838114,2.5265762750904543,3193.9,238.76,3432.65,2428.33,1690.91,42.71,4161.96,3432.65,729.3,474.05,0,0.0,0.0,0.0,0.0,0,-115726.11
109,2.8972127685218574,0.6851530004324484,3.7360416525297273,3.561462482211323,3208.54,219.33,3427.87,3422.98,2110.22,42.71,5575.91,3427.87,2148.05,1396.23,0,0.0,0.0,0.0,0.0,0,-114329.88
110,2.9189309724098775,0.6244596126606581,3.109972982249714,2.41401032453939,3232.59,199.9,3432.49,2320.15,1756.6,42.71,4119.46,3432.49,686.97,446.53,0,0.0,0.0,0.0,0.0,0,-113883.35
111,2.780628729024074,0.5637662248888673,3.476664222485892,4.9096333393741745,3079.43,180.47,3259.9,4718.73,1963.72,42.71,6725.16,3259.9,3465.26,2118.93,205.36,0.0,0.0,0.0,0.0,0,-111764.42
112,2.340836738989138,0.503072837117077,2.7024408647700437,4.6471846330654385,2592.38,161.04,2753.42,4466.49,1526.41,42.71,6035.61,2753.42,3282.19,1789.72,528.78,0.0,0.0,0.0,0.0,0,-109974.7
113,2.1604183317608285,0.442379449345287,1.7057263444256976,3.502982137751097,2392.57,141.61,2534.18,3366.77,963.44,42.71,4372.93,2534.18,1838.74,1195.18,0,0.0,0.0,0.0,0.0,0,-108779.51
114,2.8046072429646256,0.3816860615734962,4.29578320621617,2.7172110640901264,3105.98,122.18,3228.17,2611.56,2426.38,42.71,5080.65,3228.17,1852.48,1204.11,0,0.0,0.0,0.0,0.0,0,-107575.4
115,2.902024530545237,0.3209926738017068,3.476381373893119,2.7805568501024576,3213.87,102.75,3316.62,2672.44,1963.56,42.71,4678.71,3316.62,1362.09,885.36,0,0.0,0.0,0.0,0.0,0,-106690.04
116,2.869709962541932,0.2602992860299165,2.36309106956077,3.991635405299496,3178.08,83.33,3261.41,3836.43,1334.74,42.71,5213.88,3261.41,1952.47,1269.11,0,0.0,0.0,0.0,0.0,0,-105420.94
117,2.8274572405763876,0.1996058982581265,0.9402835908507264,4.607084342691813,3131.29,63.9,3195.18,4427.94,531.1,42.71,5001.75,3195.18,1806.57,1174.27,0,0.0,0.0,0.0,0.0,0,-104246.67
118,2.7781657667169544,0.1389125104863366,1.914972814253461,2.1351775266784494,3076.7,44.47,3121.17,2052.15,1081.63,42.71,3176.5,3121.17,55.33,35.96,0,0.0,0.0,0.0,0.0,0,-104210.7
119,2.3988701176529945,0.0782191227145472,1.8625035218822257,2.862418469965636,2656.65,25.04,2681.68,2751.12,1051.99,42.71,3845.82,2681.68,1164.14,756.69,0,0.0,0.0,0.0,0.0,0,-103454.01
120,2.132501481551851,0.0175257349427564,0.830295895203718,5.269236992992194,2361.65,5.61,2367.26,5064.35,468.97,42.71,5576.04,2367.26,3208.77,1538.72,841.51,0.0,0.0,0.0,0.0,0,-101915.29
121,2.159740457238066,-0.043167652829033,1.1131743539775474,3.9250580608981385,2391.82,-13.82,2378.0,3772.44,628.75,42.71,4443.9,2378.0,2065.9,1342.84,0,0.0,0.0,0.0,0.0,0,-100572.46
122,2.769517813901181,-0.1038610406008229,2.2743714799020487,3.3279846516002816,3067.12,-33.25,3033.87,3198.58,1284.63,42.71,4525.92,3033.87,1492.05,969.83,0,0.0,0.0,0.0,0.0,0,-99602.63
123,2.7893526081562565,-0.1645544283726137,0.7731253429923493,5.530558727257699,3089.09,-52.68,3036.41,5315.51,436.68,42.71,5794.91,3036.41,2758.49,1793.02,0,0.0,0.0,0.0,0.0,0,-97809.61
124,2.799189162874955,-0.2252478161444036,1.6673256951037108,5.715649175884042,3099.98,-72.11,3027.88,5493.4,941.75,42.71,6477.87,3027.88,3449.99,1968.12,422.11,0.0,0.0,0.0,0.0,0,-95841.49
125,2.8545678516269466,-0.2859412039161935,2.983457090572819,4.201460400979097,3161.31,-91.53,3069.78,4038.09,1685.14,42.71,5765.94,3069.78,2696.17,1752.51,0,0.0,0.0,0.0,0.0,0,-94088.98
126,2.435875730298913,-0.3466345916879834,1.7078854805779862,3.701356373312721,2697.63,-110.96,2586.66,3557.43,964.66,42.71,4564.81,2586.66,1978.14,1285.79,0,0.0,0.0,0.0,0.0,0,-92803.18
127,2.2523230410306274,-0.4073279794597733,2.7515124603808836,3.9916806652209105,2494.35,-130.39,2363.96,3836.47,1554.13,42.71,5433.31,2363.96,3069.35,1536.57,705.39,0.0,0.0,0.0,0.0,0,-91266.61
